# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.replace.project.model.ms,1744171918228000000,1744171948255000000,0
workspaceModel.loading.from.cache.ms,1744171918228000000,1744171948255000000,58
workspaceModel.to.snapshot.ms,1744171918228000000,1744171948255000000,0
workspaceModel.updates.precise.ms,1744171918228000000,1744171948255000000,0
workspaceModel.loading.total.ms,1744171918228000000,1744171948255000000,79
workspaceModel.check.recursive.update.ms,1744171918228000000,1744171948255000000,0
workspaceModel.update.unloaded.entities.ms,1744171918228000000,1744171948255000000,0
workspaceModel.initializing.ms,1744171918228000000,1744171948255000000,0
workspaceModel.init.bridges.ms,1744171918228000000,1744171948255000000,0
workspaceModel.updates.count,1744171918228000000,1744171948255000000,0
workspaceModel.collect.changes.ms,1744171918228000000,1744171948255000000,0
workspaceModel.pre.handlers.ms,1744171918228000000,1744171948255000000,0
workspaceModel.updates.ms,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalPagesWritten,1744171918228000000,1744171948255000000,0
MappedFileStorage.totalBytesMapped,1744171918228000000,1744171948255000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1744171918228000000,1744171948255000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744171918228000000,1744171948255000000,41967616
FilePageCacheLockFree.housekeeperTurnsSkipped,1744171918228000000,1744171948255000000,22018
FilePageCacheLockFree.totalBytesRequested,1744171918228000000,1744171948255000000,679936
FilePageCache.maxCacheSizeInBytes,1744171918228000000,1744171948255000000,198180864
FilePageCacheLockFree.totalPagesReclaimed,1744171918228000000,1744171948255000000,3
DirectByteBufferAllocator.misses,1744171918228000000,1744171948255000000,192
FilePageCacheLockFree.totalPagesWriteMs,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744171918228000000,1744171948255000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalPagesHandedOver,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalPagesReadMs,1744171918228000000,1744171948255000000,4
FilePageCache.disposedBuffers,1744171918228000000,1744171948255000000,192
StorageLockContext.competingThreads.90P,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1744171918228000000,1744171948255000000,61
FilePageCache.capacityInBytes,1744171918228000000,1744171948255000000,503316478
FilePageCacheLockFree.totalNativeBytesReclaimed,1744171918228000000,1744171948255000000,24576
FilePageCacheLockFree.totalPagesAllocated,1744171918228000000,1744171948255000000,3
FilePageCacheLockFree.totalPagesRequestsMs,1744171918228000000,1744171948255000000,7
FilePageCache.totalPageLoadsUs,1744171918228000000,1744171948255000000,904089
FilePageCache.pageFastCacheHits,1744171918228000000,1744171948255000000,3796
DirectByteBufferAllocator.reclaimed,1744171918228000000,1744171948255000000,46
MappedFileStorage.storages,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalBytesRead,1744171918228000000,1744171948255000000,16673
FilePageCache.pageLoads,1744171918228000000,1744171948255000000,192
FilePageCacheLockFree.totalPagesRequested,1744171918228000000,1744171948255000000,83
FilePageCache.maxRegisteredFiles,1744171918228000000,1744171948255000000,520
MappedFileStorage.totalPagesMapped,1744171918228000000,1744171948255000000,0
DirectByteBufferAllocator.hits,1744171918228000000,1744171948255000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1744171918228000000,1744171948255000000,284
FilePageCache.totalPageDisposalsUs,1744171918228000000,1744171948255000000,4959
FilePageCacheLockFree.totalNativeBytesAllocated,1744171918228000000,1744171948255000000,24576
StorageLockContext.competingThreads.avg,1744171918228000000,1744171948255000000,0.017241379310344827
DirectByteBufferAllocator.disposed,1744171918228000000,1744171948255000000,149
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744171918228000000,1744171948255000000,41967616
MappedFileStorage.totalTimeSpentOnMappingUs,1744171918228000000,1744171948255000000,787
FilePageCacheLockFree.totalBytesWritten,1744171918228000000,1744171948255000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1744171918228000000,1744171948255000000,0
StorageLockContext.competingThreads.max,1744171918228000000,1744171948255000000,1
